exp_id,avg_err_dist[m],avg_err_dist[px],avg_direct_err_dist[m],accuracy,existing_rate,st_dt,ed_dt,mac,floor,st_node,ed_node,via_dts_list,via_nodes_list,match_rate,adjacent_rate,middle_rate,wrong_node_rate
170127_034,3.67,28.03,6.99,95,100,2017-01-27T17:58:00.000Z,2017-01-27T18:08:00.000Z,00:11:81:10:01:47,W2-7F,21,20,[],[],0,0,95,5
170127_038,2.67,20.42,4.56,89.19,100,2017-01-27T18:11:10.000Z,2017-01-27T18:14:18.000Z,00:11:81:10:01:1b,W2-7F,1,1,"[ { ""$date"" : ""2017-01-28T03:11:39.000+0900"" }, { ""$date"" : ""2017-01-28T03:12:12.000+0900"" }, { ""$date"" : ""2017-01-28T03:12:31.000+0900"" }, { ""$date"" : ""2017-01-28T03:12:45.000+0900"" }, { ""$date"" : ""2017-01-28T03:13:04.000+0900"" }, { ""$date"" : ""2017-01-28T03:13:36.000+0900"" }, { ""$date"" : ""2017-01-28T03:13:51.000+0900"" } ]","[ 5, 8, 9, 12, 16, 21, 5 ]",24.32,2.7,62.16,10.81
170127_039,2.09,15.94,3.92,94.29,94.59,2017-01-27T18:11:10.000Z,2017-01-27T18:14:18.000Z,00:11:81:10:01:00,W2-7F,1,1,"[ { ""$date"" : ""2017-01-28T03:11:39.000+0900"" }, { ""$date"" : ""2017-01-28T03:12:12.000+0900"" }, { ""$date"" : ""2017-01-28T03:12:31.000+0900"" }, { ""$date"" : ""2017-01-28T03:12:45.000+0900"" }, { ""$date"" : ""2017-01-28T03:13:04.000+0900"" }, { ""$date"" : ""2017-01-28T03:13:36.000+0900"" }, { ""$date"" : ""2017-01-28T03:13:51.000+0900"" } ]","[ 5, 8, 9, 12, 16, 21, 5 ]",17.14,11.43,65.71,5.71
170127_040,2.09,15.98,4.18,94.59,100,2017-01-27T18:11:10.000Z,2017-01-27T18:14:18.000Z,00:11:81:10:01:0d,W2-7F,1,1,"[ { ""$date"" : ""2017-01-28T03:11:39.000+0900"" }, { ""$date"" : ""2017-01-28T03:12:12.000+0900"" }, { ""$date"" : ""2017-01-28T03:12:31.000+0900"" }, { ""$date"" : ""2017-01-28T03:12:45.000+0900"" }, { ""$date"" : ""2017-01-28T03:13:04.000+0900"" }, { ""$date"" : ""2017-01-28T03:13:36.000+0900"" }, { ""$date"" : ""2017-01-28T03:13:51.000+0900"" } ]","[ 5, 8, 9, 12, 16, 21, 5 ]",18.92,10.81,64.86,5.41
170127_041,3.64,27.8,6.13,85,100,2017-01-27T18:00:00.000Z,2017-01-27T18:01:40.000Z,00:11:81:10:01:0c,W2-7F,11,1,"[ { ""$date"" : ""2017-01-28T03:00:16.000+0900"" }, { ""$date"" : ""2017-01-28T03:00:37.000+0900"" }, { ""$date"" : ""2017-01-28T03:01:01.000+0900"" }, { ""$date"" : ""2017-01-28T03:01:13.000+0900"" } ]","[ 9, 8, 6, 5 ]",5,15,65,15
170127_042,6.8,51.98,8.27,80,100,2017-01-27T18:00:00.000Z,2017-01-27T18:01:40.000Z,00:11:81:10:01:0e,W2-7F,11,1,"[ { ""$date"" : ""2017-01-28T03:00:16.000+0900"" }, { ""$date"" : ""2017-01-28T03:00:37.000+0900"" }, { ""$date"" : ""2017-01-28T03:01:01.000+0900"" }, { ""$date"" : ""2017-01-28T03:01:13.000+0900"" } ]","[ 9, 8, 6, 5 ]",15,5,60,20
170127_043,10.49,80.15,12.38,56.25,80,2017-01-27T18:00:00.000Z,2017-01-27T18:01:40.000Z,00:11:81:10:01:3d,W2-7F,11,1,"[ { ""$date"" : ""2017-01-28T03:00:16.000+0900"" }, { ""$date"" : ""2017-01-28T03:00:37.000+0900"" }, { ""$date"" : ""2017-01-28T03:01:01.000+0900"" }, { ""$date"" : ""2017-01-28T03:01:13.000+0900"" } ]","[ 9, 8, 6, 5 ]",12.5,6.25,37.5,43.75
170127_044,3.92,29.92,6.22,85.19,100,2017-01-27T18:02:40.000Z,2017-01-27T18:04:55.000Z,00:11:81:10:01:0c,W2-7F,22,11,"[ { ""$date"" : ""2017-01-28T03:02:55.000+0900"" }, { ""$date"" : ""2017-01-28T03:03:11.000+0900"" }, { ""$date"" : ""2017-01-28T03:03:22.000+0900"" }, { ""$date"" : ""2017-01-28T03:03:45.000+0900"" }, { ""$date"" : ""2017-01-28T03:04:02.000+0900"" }, { ""$date"" : ""2017-01-28T03:04:23.000+0900"" }, { ""$date"" : ""2017-01-28T03:04:37.000+0900"" } ]","[ 21, 5, 6, 8, 16, 12, 9 ]",7.41,11.11,66.67,14.81
170127_045,2.15,16.44,4.5,92.59,100,2017-01-27T18:02:40.000Z,2017-01-27T18:04:55.000Z,00:11:81:10:01:0e,W2-7F,22,11,"[ { ""$date"" : ""2017-01-28T03:02:55.000+0900"" }, { ""$date"" : ""2017-01-28T03:03:11.000+0900"" }, { ""$date"" : ""2017-01-28T03:03:22.000+0900"" }, { ""$date"" : ""2017-01-28T03:03:45.000+0900"" }, { ""$date"" : ""2017-01-28T03:04:02.000+0900"" }, { ""$date"" : ""2017-01-28T03:04:23.000+0900"" }, { ""$date"" : ""2017-01-28T03:04:37.000+0900"" } ]","[ 21, 5, 6, 8, 16, 12, 9 ]",7.41,11.11,74.07,7.41
170127_046,2.53,19.32,5.03,96.3,100,2017-01-27T18:02:40.000Z,2017-01-27T18:04:55.000Z,00:11:81:10:01:3d,W2-7F,22,11,"[ { ""$date"" : ""2017-01-28T03:02:55.000+0900"" }, { ""$date"" : ""2017-01-28T03:03:11.000+0900"" }, { ""$date"" : ""2017-01-28T03:03:22.000+0900"" }, { ""$date"" : ""2017-01-28T03:03:45.000+0900"" }, { ""$date"" : ""2017-01-28T03:04:02.000+0900"" }, { ""$date"" : ""2017-01-28T03:04:23.000+0900"" }, { ""$date"" : ""2017-01-28T03:04:37.000+0900"" } ]","[ 21, 5, 6, 8, 16, 12, 9 ]",7.41,11.11,77.78,3.7
